year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error,officials_analysis_competition_type_id,season_year
2022,30795,https://ijs.usfigureskating.org/leaderboard/results/2022/30795/index.asp,200,2022 Garden State Games,6/10/22,6/12/22,"Montclair State Arena, Wayne, New Jersey",2026-05-19T01:40:14+00:00,,11,2223
2022,30624,https://ijs.usfigureskating.org/leaderboard/results/2022/30624/index.asp,200,2022 Skate Pittsburgh,7/9/22,7/9/22,"RMU Island Sports Center, Acctg Room, Pittsburgh, PA",2026-05-19T01:39:55+00:00,,11,2223
2022,30909,https://ijs.usfigureskating.org/leaderboard/results/2022/30909/index.asp,200,2022 Skate Evansville,9/17/22,9/18/22,"Swonder Ice Arena, Evansville, IN",2026-05-19T01:40:26+00:00,,11,2223
2022,30235,https://ijs.usfigureskating.org/leaderboard/results/2022/30235/index.asp,200,10th Annual Snowtown Invitational Competition,1/21/22,1/23/22,"Watertown Fairgrounds Arena, Watertown, NY",2026-05-19T01:39:06+00:00,,11,2122
2022,30329,https://ijs.usfigureskating.org/leaderboard/results/2022/30329/index.asp,200,2022 FL Interclub Council Winter Festival,1/28/22,1/29/22,"Fort Meyers Skatium, Fort Meyers, FL",2026-05-19T01:39:16+00:00,,11,2122
2022,30294,https://ijs.usfigureskating.org/leaderboard/results/2022/30294/index.asp,200,42nd Annual Northland Figure Skating Competition,2/3/22,2/6/22,"Duluth Entertainment Conventio, Duluth, MN",2026-05-19T01:39:12+00:00,,11,2122
2022,30326,https://ijs.usfigureskating.org/leaderboard/results/2022/30326/index.asp,200,2022 Empire State Games - Singles,2/3/22,2/6/22,"Lake Placid Olympic Center, Lake Placid, NY",2026-05-19T01:39:16+00:00,,11,2122
2022,30318,https://ijs.usfigureskating.org/leaderboard/results/2022/30318/index.asp,200,2022 Hiawathaland Open & Compete USA Competition,2/4/22,2/6/22,"Rochester Recreation Center, Rochester, MN",2026-05-19T01:39:15+00:00,,11,2122
2022,30464,https://ijs.usfigureskating.org/leaderboard/results/2022/30464/index.asp,200,2022 Love Bug Open,2/6/22,2/6/22,"Credit Union of Texas Event Ce, Allen, TX",2026-05-19T01:39:37+00:00,,11,2122
2022,30250,https://ijs.usfigureskating.org/leaderboard/results/2022/30250/index.asp,200,TriState Synchronized Skating Competition,2/11/22,2/13/22,"Swonder Ice Arena, Evansville, IN",2026-05-19T01:39:08+00:00,,11,2122
2022,30463,https://ijs.usfigureskating.org/leaderboard/results/2022/30463/index.asp,200,2022 Red River Valley Classic,2/11/22,2/12/22,"South Arena, Moorhead, MN",2026-05-19T01:39:37+00:00,,11,2122
2022,30531,https://ijs.usfigureskating.org/leaderboard/results/2022/30531/index.asp,200,2022 Sweetheart Classic Synchronized Skating,2/12/22,2/12/22,"Anaheim Ice, Anaheim, CA",2026-05-19T01:39:45+00:00,,11,2122
2022,30349,https://ijs.usfigureskating.org/leaderboard/results/2022/30349/index.asp,200,2022 Sweetheart Classic,2/13/22,2/13/22,"Anaheim Ice, Anaheim, CA",2026-05-19T01:39:19+00:00,,11,2122
2022,30324,https://ijs.usfigureskating.org/leaderboard/results/2022/30324/index.asp,200,Alamo Skate,2/18/22,2/20/22,"Ice Center at Northwoods, San Antonio, TX",2026-05-19T01:39:16+00:00,,11,2122
2022,30355,https://ijs.usfigureskating.org/leaderboard/results/2022/30355/index.asp,200,Swan Synchro Skate 2022,2/19/22,2/19/22,"Beaver Dam Family Center Ice A, Beaver Dam, WI",2026-05-19T01:39:20+00:00,,11,2122
2022,30428,https://ijs.usfigureskating.org/leaderboard/results/2022/30428/index.asp,200,Connecticut Synchronized Skating Classic,2/19/22,2/20/22,"People's United Center, Hamden, CT",2026-05-19T01:39:32+00:00,,11,2122
2022,30159,https://ijs.usfigureskating.org/leaderboard/results/2022/30159/index.asp,200,Reflections Synchro Invitational,2/20/22,2/21/22,"Giant Center, Hershey, PA",2026-05-19T01:38:59+00:00,,11,2122
2022,30397,https://ijs.usfigureskating.org/leaderboard/results/2022/30397/index.asp,200,2022 Adult Mid-Winter Warmup Open Championships,2/20/22,2/20/22,"East West Ice Palace, Artesia, CA",2026-05-19T01:39:27+00:00,,11,2122
2022,30341,https://ijs.usfigureskating.org/leaderboard/results/2022/30341/index.asp,200,2022 Southern Eastern Great Lakes Figure Skating C,2/24/22,2/27/22,"Hobart Arena, Acctg Room, Troy, OH",2026-05-19T01:39:18+00:00,,11,2122
2022,30404,https://ijs.usfigureskating.org/leaderboard/results/2022/30404/index.asp,200,Omaha Winter Festival 2022,2/24/22,2/27/22,"Motto McLean Ice Arena, Omaha, NE",2026-05-19T01:39:28+00:00,,11,2122
2022,30173,https://ijs.usfigureskating.org/leaderboard/results/2022/30173/index.asp,200,2022 Magic City Intternational,2/25/22,2/26/22,"MAYSA Arena, Minot, ND",2026-05-19T01:39:01+00:00,,11,2122
2022,30288,https://ijs.usfigureskating.org/leaderboard/results/2022/30288/index.asp,200,2022 Pennsylvania Skating Championships,2/25/22,2/27/22,"Revolution Ice Center,, Pittston, PA",2026-05-19T01:39:12+00:00,,11,2122
2022,30453,https://ijs.usfigureskating.org/leaderboard/results/2022/30453/index.asp,200,2022 Sun Valley Winter Games,2/25/22,2/27/22,"Sun Valley Skating Center, Sun Valley, ID",2026-05-19T01:39:36+00:00,,11,2122
2022,30118,https://ijs.usfigureskating.org/leaderboard/results/2022/30118/index.asp,200,20th New Year's Invitational,2/26/22,2/27/22,"Prince William Ice Center, Woodbridge, VA",2026-05-19T01:38:55+00:00,,11,2122
2022,30139,https://ijs.usfigureskating.org/leaderboard/results/2022/30139/index.asp,200,Capital Ice Synchro Classic,2/27/22,2/27/22,"VFW All Seasons Arena, Bismarck, ND",2026-05-19T01:38:57+00:00,,11,2122
2022,30507,https://ijs.usfigureskating.org/leaderboard/results/2022/30507/index.asp,200,2022 Skating For Skills,3/5/22,3/6/22,"The Pond, Chagrin Falls, Ohio",2026-05-19T01:39:42+00:00,,11,2223
2022,30534,https://ijs.usfigureskating.org/leaderboard/results/2022/30534/index.asp,200,Columbus Invitational,3/5/22,3/6/22,"Hamilton Center Ice Arena, Columbus, IN",2026-05-19T01:39:45+00:00,,11,2223
2022,28739,https://ijs.usfigureskating.org/leaderboard/results/2022/28739/index.asp,200,2022 Eastern Adult Sectional Figure Skating Champi,3/10/22,3/13/22,"Haverford Skatium, Havertown, PA",2026-05-19T01:36:39+00:00,,13,2122
2022,28744,https://ijs.usfigureskating.org/leaderboard/results/2022/28744/index.asp,200,2022 PC Adult Sectional FS Championship,3/10/22,3/13/22,"Eagles Ice Arena, Spokane, WA",2026-05-19T01:36:40+00:00,,13,2122
2022,28747,https://ijs.usfigureskating.org/leaderboard/results/2022/28747/index.asp,200,2022 Midwestern Adult Sectional FS Championship,3/10/22,3/13/22,"ImOn Ice Arena, Cedar Rapids, IA",2026-05-19T01:36:40+00:00,,13,2122
2022,30364,https://ijs.usfigureskating.org/leaderboard/results/2022/30364/index.asp,200,2022 Denver Invitational,3/10/22,3/13/22,"South Suburban Rink 2, Rink 1, Highlands Ranch, CO",2026-05-19T01:39:22+00:00,,11,2223
2022,30527,https://ijs.usfigureskating.org/leaderboard/results/2022/30527/index.asp,200,2022 Denver Invitational (Synchro Events),3/10/22,3/13/22,"South Suburban Sports Complex, Highlands Ranch, CO",2026-05-19T01:39:44+00:00,,11,2223
2022,30214,https://ijs.usfigureskating.org/leaderboard/results/2022/30214/index.asp,200,Houston Invitational,3/11/22,3/13/22,"Aerodrome Ice Skating Complex, Houston, TX",2026-05-19T01:39:04+00:00,,11,2223
2022,30401,https://ijs.usfigureskating.org/leaderboard/results/2022/30401/index.asp,200,2022 Southern Connecticut Dance Competition,3/11/22,3/12/22,"Terry Conners Ice Rink, Stamford, CT",2026-05-19T01:39:28+00:00,,11,2223
2022,30441,https://ijs.usfigureskating.org/leaderboard/results/2022/30441/index.asp,200,2022 Magnolia Open,3/11/22,3/13/22,"The Cooler, Alpharetta, GA",2026-05-19T01:39:34+00:00,,11,2223
2022,30333,https://ijs.usfigureskating.org/leaderboard/results/2022/30333/index.asp,200,47th Howard E Van Camp Invitational,3/18/22,3/20/22,"Suburban Ice, East Lansing, MI",2026-05-19T01:39:17+00:00,,11,2223
2022,30392,https://ijs.usfigureskating.org/leaderboard/results/2022/30392/index.asp,200,2022 LSA Spring Invitational,3/18/22,3/19/22,"North Rink, Louisville, KY",2026-05-19T01:39:26+00:00,,11,2223
2022,30508,https://ijs.usfigureskating.org/leaderboard/results/2022/30508/index.asp,200,2022 Michigan Showcase,3/18/22,3/20/22,"Hartland Ice House, Hartland, MI",2026-05-19T01:39:42+00:00,,11,2223
2022,30413,https://ijs.usfigureskating.org/leaderboard/results/2022/30413/index.asp,200,Cleveland Invitational Championships 2022,3/19/22,3/20/22,"Mentor Civic Ice Arena, Mentor, OH",2026-05-19T01:39:30+00:00,,11,2223
2022,30539,https://ijs.usfigureskating.org/leaderboard/results/2022/30539/index.asp,200,2022 BODYARMOR NC State Games,3/19/22,3/20/22,"Wake Competition Center, Morrisville, NC",2026-05-19T01:39:46+00:00,,11,2223
2022,30584,https://ijs.usfigureskating.org/leaderboard/results/2022/30584/index.asp,200,Sunflower Classic 2022,3/20/22,3/20/22,"Minnetonka Ice Arena, Minnetonka, MN",2026-05-19T01:39:51+00:00,,11,2223
2022,30436,https://ijs.usfigureskating.org/leaderboard/results/2022/30436/index.asp,200,2022 Skate Kansas City,3/24/22,3/27/22,"Independence Community Ice, Independence, MO",2026-05-19T01:39:33+00:00,,11,2223
2022,30545,https://ijs.usfigureskating.org/leaderboard/results/2022/30545/index.asp,200,47th Annual 2022 W.I.M. Competition,3/24/22,3/27/22,"Wilson Park Recreation Center, Milwaukee, WI",2026-05-19T01:39:47+00:00,,11,2223
2022,30348,https://ijs.usfigureskating.org/leaderboard/results/2022/30348/index.asp,200,Morris Open,3/25/22,3/27/22,"Rink 1, Rink 3, Morristown, NJ",2026-05-19T01:39:19+00:00,,11,2223
2022,30343,https://ijs.usfigureskating.org/leaderboard/results/2022/30343/index.asp,200,Fiesta Skate 2022,3/31/22,4/3/22,"AZ Ice Peoria, Peoria, AZ",2026-05-19T01:39:18+00:00,,11,2223
2022,30455,https://ijs.usfigureskating.org/leaderboard/results/2022/30455/index.asp,200,35th Annual Florida Open Championships,3/31/22,4/3/22,"RDV Sportsplex Ice Den, Orlando, FL",2026-05-19T01:39:36+00:00,,11,2223
2022,30363,https://ijs.usfigureskating.org/leaderboard/results/2022/30363/index.asp,200,2022 Sugar Skate,4/1/22,4/3/22,"Sugar Land Ice & Sports Center, Sugar Land, TX",2026-05-19T01:39:21+00:00,,11,2223
2022,30383,https://ijs.usfigureskating.org/leaderboard/results/2022/30383/index.asp,200,Cardinal Classic 2022,4/1/22,4/3/22,"Olympic Rink, NHL Rink, Woodbridge, VA",2026-05-19T01:39:24+00:00,,11,2223
2022,28741,https://ijs.usfigureskating.org/leaderboard/results/2022/28741/index.asp,200,2022 U.S. Adult Figure Skating Championships,4/5/22,4/9/22,"Rink 1, Rink 2, Newark, DE",2026-05-19T01:36:40+00:00,,12,2122
2022,30605,https://ijs.usfigureskating.org/leaderboard/results/2022/30605/index.asp,200,Fort Collins Classic,4/7/22,4/10/22,"Edora Pool Ice Center (EPIC), Fort Collins, CO",2026-05-19T01:39:53+00:00,,11,2223
2022,30384,https://ijs.usfigureskating.org/leaderboard/results/2022/30384/index.asp,200,Skate Nashville 2022,4/8/22,4/10/22,"Centennial Sportsplex Ice Aren, Nashville, TN",2026-05-19T01:39:25+00:00,,11,2223
2022,30387,https://ijs.usfigureskating.org/leaderboard/results/2022/30387/index.asp,200,Skate Bloomington 2022,4/8/22,4/9/22,"Bloomington Ice Garden, Bloomington, MN",2026-05-19T01:39:26+00:00,,11,2223
2022,30340,https://ijs.usfigureskating.org/leaderboard/results/2022/30340/index.asp,200,2022 Crossroads FSC Spring-tacular Competition,4/9/22,4/10/22,"Haverford Skatium, Havertown, PA",2026-05-19T01:39:18+00:00,,11,2223
2022,30601,https://ijs.usfigureskating.org/leaderboard/results/2022/30601/index.asp,200,Reach for the Peaks,4/14/22,4/16/22,"Peaks Ice Arena, Provo, UT",2026-05-19T01:39:52+00:00,,11,2223
2022,30345,https://ijs.usfigureskating.org/leaderboard/results/2022/30345/index.asp,200,47th Annual Ladybug Competition,4/21/22,4/24/22,"Ice Valley Centre Ice Arena, Kankakee, Illinois",2026-05-19T01:39:19+00:00,,11,2223
2022,30370,https://ijs.usfigureskating.org/leaderboard/results/2022/30370/index.asp,200,2022 Skate Austin Bluebonnet Open,4/21/22,4/24/22,"Gold, Silver, Cedar Park, TX",2026-05-19T01:39:23+00:00,,11,2223
2022,30388,https://ijs.usfigureskating.org/leaderboard/results/2022/30388/index.asp,200,Skate Vegas 2022,4/21/22,4/24/22,"Lifeguard Arena, Henderson, NV",2026-05-19T01:39:26+00:00,,11,2223
2022,30357,https://ijs.usfigureskating.org/leaderboard/results/2022/30357/index.asp,200,2022 Southern CT Open,4/22/22,4/24/22,"Darien Ice Rink, Darien, CT",2026-05-19T01:39:21+00:00,,11,2223
2022,30399,https://ijs.usfigureskating.org/leaderboard/results/2022/30399/index.asp,200,Blades in Bama,4/22/22,4/24/22,"Pelham Civic Complex, Pelham, AL",2026-05-19T01:39:28+00:00,,11,2223
2022,30438,https://ijs.usfigureskating.org/leaderboard/results/2022/30438/index.asp,200,2022 La Jolla Open,4/22/22,4/24/22,"UTC Ice Sports Center, San Diego, CA",2026-05-19T01:39:34+00:00,,11,2223
2022,30354,https://ijs.usfigureskating.org/leaderboard/results/2022/30354/index.asp,200,Tri State Singles Competition,4/23/22,4/24/22,"Dearborn Ice Skating Center, Dearborn, MI",2026-05-19T01:39:20+00:00,,11,2223
2022,30620,https://ijs.usfigureskating.org/leaderboard/results/2022/30620/index.asp,200,2022 Spring Funtastics,4/23/22,4/24/22,"Apex Center, Arvada, CO",2026-05-19T01:39:54+00:00,,11,2223
2022,30408,https://ijs.usfigureskating.org/leaderboard/results/2022/30408/index.asp,200,May Day Open and Compete USA,5/5/22,5/8/22,"Patrick Rink, Resor Rink, Laurel, MD",2026-05-19T01:39:29+00:00,,11,2223
2022,30608,https://ijs.usfigureskating.org/leaderboard/results/2022/30608/index.asp,200,2022 Three Rivers Spring Skate,5/7/22,5/7/22,"Mt. Lebanon Recreation Center, Mt. Lebanon, PA",2026-05-19T01:39:53+00:00,,11,2223
2022,30577,https://ijs.usfigureskating.org/leaderboard/results/2022/30577/index.asp,200,2022 Nassau County Figure Skating Championships,5/13/22,5/15/22,"Cantiague Park Ice Arena, Hicksville, NY",2026-05-19T01:39:50+00:00,,11,2223
2022,30450,https://ijs.usfigureskating.org/leaderboard/results/2022/30450/index.asp,200,2022 Spring Jubilee,5/14/22,5/14/22,"Rink 1, Rink 2, San Jose, CA",2026-05-19T01:39:36+00:00,,11,2223
2022,30356,https://ijs.usfigureskating.org/leaderboard/results/2022/30356/index.asp,200,2022 North Shore Open,5/19/22,5/22/22,"Burbank Ice Arena, Reading, MA",2026-05-19T01:39:20+00:00,,11,2223
2022,30406,https://ijs.usfigureskating.org/leaderboard/results/2022/30406/index.asp,200,38th Annual Margaret Faulkner Springtime Invitatio,5/19/22,5/22/22,"Olympic Rink, Stadium Rink, Ann Arbor, MI",2026-05-19T01:39:29+00:00,,11,2223
2022,30679,https://ijs.usfigureskating.org/leaderboard/results/2022/30679/index.asp,200,2022 Roseville Open Competition,5/19/22,5/22/22,"Roseville Skating Center, Roseville, MN",2026-05-19T01:40:01+00:00,,11,2223
2022,30266,https://ijs.usfigureskating.org/leaderboard/results/2022/30266/index.asp,200,Westchester Classic,5/20/22,5/22/22,"Playland Ice, Rye, NY",2026-05-19T01:39:10+00:00,,11,2223
2022,30358,https://ijs.usfigureskating.org/leaderboard/results/2022/30358/index.asp,200,Central Illinois FSC Presents Excel and Beyond,5/20/22,5/22/22,"Grossinger Motors Arena, Bloomington, IL",2026-05-19T01:39:21+00:00,,11,2223
2022,30574,https://ijs.usfigureskating.org/leaderboard/results/2022/30574/index.asp,200,34th Annual Florida State Games FSC,5/20/22,5/22/22,"Panthers Ice Den, Coral Springs, FL",2026-05-19T01:39:49+00:00,,11,2223
2022,30588,https://ijs.usfigureskating.org/leaderboard/results/2022/30588/index.asp,200,2022 Spring Invitational,5/20/22,5/21/22,"The Igloo Ice Rink, Mount Laurel, New Jersey",2026-05-19T01:39:51+00:00,,11,2223
2022,30627,https://ijs.usfigureskating.org/leaderboard/results/2022/30627/index.asp,200,2022 Central Carolina Skating Classic,5/20/22,5/22/22,"Orange County SportsPlex, Hillsborough, NC",2026-05-19T01:39:55+00:00,,11,2223
2022,30652,https://ijs.usfigureskating.org/leaderboard/results/2022/30652/index.asp,200,North Shore Open (TOI Only),5/20/22,5/22/22,"Burbank Ice Arena, Reading, MA",2026-05-19T01:39:58+00:00,,11,2223
2022,30682,https://ijs.usfigureskating.org/leaderboard/results/2022/30682/index.asp,200,2022 Lake City Classic,5/20/22,5/22/22,"Frontier Ice Arena, Coeur d'Alene, ID",2026-05-19T01:40:01+00:00,,11,2223
2022,30748,https://ijs.usfigureskating.org/leaderboard/results/2022/30748/index.asp,200,2022 Memorial Trophy,5/20/22,5/22/22,"Ice Skate Memorial City, 303 Memorial City Way #902, Houston, TX 77024",2026-05-19T01:40:08+00:00,,11,2223
