year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error,officials_analysis_competition_type_id,season_year
2024,34313,https://ijs.usfigureskating.org/leaderboard/results/2024/34313/index.asp,200,2024 Sierra Nevada Ice Classic,6/10/24,6/1/24,"Reno Ice, Reno, NV",2026-05-18T22:26:34+00:00,,11,2425
2024,33991,https://ijs.usfigureskating.org/leaderboard/results/2024/33991/index.asp,200,2024 Southport Summer Classic,6/13/24,6/15/24,"Blue Rink, Green Rink, Pleasant Prairie, WI",2026-05-18T22:25:41+00:00,,11,2425
2024,34395,https://ijs.usfigureskating.org/leaderboard/results/2024/34395/index.asp,200,2024 Garden State Games,6/14/24,6/15/24,"Ice Vault Arena, Wayne, New Jersey",2026-05-18T22:26:48+00:00,,11,2425
2024,33893,https://ijs.usfigureskating.org/leaderboard/results/2024/33893/index.asp,200,2024 SkateFest,6/15/24,6/16/24,"John Lindell Ice Arena, Royal Oak, MI",2026-05-18T22:25:08+00:00,,11,2425
2024,34453,https://ijs.usfigureskating.org/leaderboard/results/2024/34453/index.asp,200,2024 Southern California InterClub Championships,6/15/24,6/16/24,"Rink 1, Paramount, CA",2026-05-18T22:27:06+00:00,,11,2425
2024,33923,https://ijs.usfigureskating.org/leaderboard/results/2024/33923/index.asp,200,2024 Chesapeake Open and Compete USA,6/19/24,6/22/24,"Patrick Rink 1, Resor Rink 2, Laurel, MD",2026-05-18T22:25:18+00:00,,11,2425
2024,34442,https://ijs.usfigureskating.org/leaderboard/results/2024/34442/index.asp,200,2024 Lake Placid Figure Skating Championships,6/19/24,6/22/24,"Lake Placid Olympic Center, Lake Placid, NY",2026-05-18T22:27:01+00:00,,11,2425
2024,34316,https://ijs.usfigureskating.org/leaderboard/results/2024/34316/index.asp,200,2024 Grand Rapids Open,6/21/24,6/23/24,"Patterson Ice Center, Grand Rapids, MI",2026-05-18T22:26:35+00:00,,11,2425
2024,34411,https://ijs.usfigureskating.org/leaderboard/results/2024/34411/index.asp,200,2024 Braemar Competition,6/21/24,6/22/24,"Braemar Arena, Edina, MN",2026-05-18T22:26:53+00:00,,11,2425
2024,34393,https://ijs.usfigureskating.org/leaderboard/results/2024/34393/index.asp,200,2024 Arizona Ice Classic,6/22/24,6/23/24,"Ice Den Chandler, Chandler, AZ",2026-05-18T22:26:47+00:00,,11,2425
2024,34404,https://ijs.usfigureskating.org/leaderboard/results/2024/34404/index.asp,200,2024 CCIA Competition,6/22/24,6/23/24,"Oakland Ice Center, Oakland, CA",2026-05-18T22:26:49+00:00,,11,2425
2024,33964,https://ijs.usfigureskating.org/leaderboard/results/2024/33964/index.asp,200,2024 Broadmoor Open,6/23/24,6/28/24,"World Arena, Olympic Rink, Colorado Springs, CO",2026-05-18T22:25:36+00:00,,11,2425
2024,34200,https://ijs.usfigureskating.org/leaderboard/results/2024/34200/index.asp,200,2024 National Theatre On Ice Competition,6/25/24,6/29/24,"The Ford Center, Evansville, IN",2026-05-18T22:26:21+00:00,,11,2425
2024,34164,https://ijs.usfigureskating.org/leaderboard/results/2024/34164/index.asp,200,Dogwood Open 2024,6/28/24,6/30/24,"Red Rink, Invisalign Arena, Morrisville, NC",2026-05-18T22:26:16+00:00,,11,2425
2024,34441,https://ijs.usfigureskating.org/leaderboard/results/2024/34441/index.asp,200,2024 Champlain Valley Open,7/6/24,7/6/24,"Leddy Arena, Burlington, VT",2026-05-18T22:27:01+00:00,,11,2425
2024,34433,https://ijs.usfigureskating.org/leaderboard/results/2024/34433/index.asp,200,2024 Skate Milwaukee,7/8/24,7/12/24,"Pettit National Ice Center, Milwaukee, WI",2026-05-18T22:26:59+00:00,,11,2425
2024,34454,https://ijs.usfigureskating.org/leaderboard/results/2024/34454/index.asp,200,2024 U.S. Junior Team Cup (Invite Only),7/8/24,7/12/24,"Pettit National Ice Center, Milwaukee, WI",2026-05-18T22:27:06+00:00,,11,2425
2024,34469,https://ijs.usfigureskating.org/leaderboard/results/2024/34469/index.asp,200,2024 Excel National Festival,7/10/24,7/14/24,"The Skating Club of Boston, Norwood, MA",2026-05-18T22:27:09+00:00,,11,2425
2024,33966,https://ijs.usfigureskating.org/leaderboard/results/2024/33966/index.asp,200,2024 Orange Blossom Open,7/11/24,7/14/24,"Clearwater Ice Arena, Clearwater, FL",2026-05-18T22:25:37+00:00,,11,2425
2024,34356,https://ijs.usfigureskating.org/leaderboard/results/2024/34356/index.asp,200,48th Annual Kathy Slack Troy Summer Competition,7/11/24,7/14/24,"Hobart Arena, Troy, OH",2026-05-18T22:26:39+00:00,,11,2425
2024,34412,https://ijs.usfigureskating.org/leaderboard/results/2024/34412/index.asp,200,Vail Invitational Figure Skating Championships,7/11/24,7/14/24,"John A Dobson Arena, Rink 2, Vail, CO",2026-05-18T22:26:55+00:00,,11,2425
