year,competition_id,url,http_status,competition_name,start_date,end_date,location,fetched_at_utc,probe_error
2025,36124,https://ijs.usfigureskating.org/leaderboard/results/2025/36124/index.asp,200,2025 Centennial Spring Classic,05/10/2025,05/10/2025,"Monument, CO",2026-05-11T16:38:44+00:00,
2025,36126,https://ijs.usfigureskating.org/leaderboard/results/2025/36126/index.asp,200,2025 Front Range Invitational,05/31/2025,06/01/2025,"Greeley, CO",2026-05-11T16:38:44+00:00,
2025,36127,https://ijs.usfigureskating.org/leaderboard/results/2025/36127/index.asp,200,2025 Grand Rapids Open,06/27/2025,06/28/2025,"Grand Rapids, MI",2026-05-11T16:38:45+00:00,
2025,36132,https://ijs.usfigureskating.org/leaderboard/results/2025/36132/index.asp,200,2025 ISCC Open - Compete USA,06/28/2025,06/28/2025,"Simsbury, CT",2026-05-11T16:38:46+00:00,
2025,36133,https://ijs.usfigureskating.org/leaderboard/results/2025/36133/index.asp,200,Skate Tulsa 2025,07/19/2025,07/20/2025,WeStreet Ice Center,2026-05-11T16:38:47+00:00,
2025,36136,https://ijs.usfigureskating.org/leaderboard/results/2025/36136/index.asp,200,2025 Broadmoor Open,06/18/2025,06/22/2025,"Colorado Springs, CO",2026-05-11T16:38:47+00:00,
2025,36147,https://ijs.usfigureskating.org/leaderboard/results/2025/36147/index.asp,200,2025 Star of the North Figure Skating Competition,04/26/2025,04/26/2025,"Chaska, MN",2026-05-11T16:38:50+00:00,
2025,36149,https://ijs.usfigureskating.org/leaderboard/results/2025/36149/index.asp,200,2025 Santa Fe SkateFest,05/30/2025,06/01/2025,"Santa Fe, NM",2026-05-11T16:38:50+00:00,
2025,36151,https://ijs.usfigureskating.org/leaderboard/results/2025/36151/index.asp,200,2025 Charleston Open,07/25/2025,07/27/2025,"North Charleston, SC",2026-05-11T16:38:51+00:00,
2025,36152,https://ijs.usfigureskating.org/leaderboard/results/2025/36152/index.asp,200,Dogwood Open 2025,06/27/2025,06/29/2025,"Morrisville, NC",2026-05-11T16:38:51+00:00,
2025,36155,https://ijs.usfigureskating.org/leaderboard/results/2025/36155/index.asp,200,2025 Greater Chicago Fall Invitational Non-Qualify,09/04/2025,09/07/2025,"Evanston, IL",2026-05-11T16:38:52+00:00,
2025,36163,https://ijs.usfigureskating.org/leaderboard/results/2025/36163/index.asp,200,The Hershey Open & Neal Wood Memorial Open,08/07/2025,08/08/1925,"Hershey Park Arena, Hershey  PA",2026-05-11T16:38:53+00:00,
2025,36164,https://ijs.usfigureskating.org/leaderboard/results/2025/36164/index.asp,200,2025 Arizona Ice Classic,06/20/2025,06/22/2025,"Chandler, AZ",2026-05-11T16:38:54+00:00,
2025,36167,https://ijs.usfigureskating.org/leaderboard/results/2025/36167/index.asp,200,2025 Lake Placid Figure Skating Championships,06/18/2025,06/21/2025,"Lake Placid, NY",2026-05-11T16:38:54+00:00,
2025,36171,https://ijs.usfigureskating.org/leaderboard/results/2025/36171/index.asp,200,2025 Sunshine State Challenge,05/16/2025,05/18/2025,"Wesley Chapel, FL",2026-05-11T16:38:55+00:00,
2025,36179,https://ijs.usfigureskating.org/leaderboard/results/2025/36179/index.asp,200,NQS - 2025 Challenge Cup,09/18/2025,09/21/2025,"Ardmore, PA",2026-05-11T16:38:57+00:00,
2025,36180,https://ijs.usfigureskating.org/leaderboard/results/2025/36180/index.asp,200,NQS - 2025 Skate Detroit,08/20/2025,08/23/2025,"Bloomfield Hills, MI",2026-05-11T16:38:57+00:00,
2025,36181,https://ijs.usfigureskating.org/leaderboard/results/2025/36181/index.asp,200,NQS - The 99th Annual Middle Atlantic Championship,09/02/2025,09/07/2025,"New York, NY",2026-05-11T16:38:58+00:00,
2025,36182,https://ijs.usfigureskating.org/leaderboard/results/2025/36182/index.asp,200,NQS - 2025 Colorado Springs Invitational,09/11/2025,09/14/2025,"Monument, CO",2026-05-11T16:38:58+00:00,
2025,36184,https://ijs.usfigureskating.org/leaderboard/results/2025/36184/index.asp,200,2025 Battle of the Blades,08/09/2025,08/10/2025,"Fort Wayne, IN",2026-05-11T16:38:58+00:00,
2025,36185,https://ijs.usfigureskating.org/leaderboard/results/2025/36185/index.asp,200,2025 All Year Open,05/31/2025,06/01/2025,"Irvine, CA",2026-05-11T16:38:59+00:00,
2025,36186,https://ijs.usfigureskating.org/leaderboard/results/2025/36186/index.asp,200,2025 Golden West Non-Qual Championships,08/29/2025,08/31/2025,"Irvine, CA",2026-05-11T16:38:59+00:00,
2025,36192,https://ijs.usfigureskating.org/leaderboard/results/2025/36192/index.asp,200,2025 Silver State Open Championships Nonqual,08/21/2025,08/24/2025,"Henderson, NV",2026-05-11T16:39:00+00:00,
2025,36199,https://ijs.usfigureskating.org/leaderboard/results/2025/36199/index.asp,200,2025 Orange Classic,05/18/2025,05/18/2025,Yorba Linda,2026-05-11T16:39:02+00:00,
2025,36202,https://ijs.usfigureskating.org/leaderboard/results/2025/36202/index.asp,200,2025 LAFSC Showcase for Skaters,06/07/2025,06/08/2025,"Burbank, CA",2026-05-11T16:39:03+00:00,
